  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
  alpha  CL  CD  CDp  CM  Top_Xtr  Bot_Xtr
  ------  --------  ---------  ---------  --------  --------  --------
  -3.000  -0.3474   0.00694   0.00189   0.0028   0.6918   0.5431
  -2.500  -0.2902   0.00687   0.00184   0.0025   0.6793   0.5667
  -2.000  -0.2326   0.00686   0.00180   0.0021   0.6673   0.5852
  -1.500  -0.1747   0.00684   0.00170   0.0017   0.6552   0.5949
  -1.000  -0.1163   0.00682   0.00166   0.0011   0.6441   0.6052
  -0.500  -0.0583   0.00678   0.00162   0.0006   0.6338   0.6145
  -0.000  -0.0000   0.00682   0.00160   0.0000   0.6239   0.6239
   0.500   0.0583   0.00678   0.00162  -0.0006   0.6146   0.6338
   1.000   0.1163   0.00682   0.00166  -0.0011   0.6052   0.6441
   1.500   0.1747   0.00684   0.00170  -0.0016   0.5949   0.6552
   2.000   0.2326   0.00686   0.00180  -0.0021   0.5852   0.6673
   2.500   0.2902   0.00687   0.00184  -0.0025   0.5667   0.6793
   3.000   0.3473   0.00694   0.00189  -0.0028   0.5431   0.6918
   4.000   0.4616   0.00712   0.00216  -0.0035   0.4961   0.7185
   4.500   0.5174   0.00733   0.00236  -0.0037   0.4546   0.7322
   5.000   0.5626   0.00870   0.00301  -0.0027   0.2738   0.7468
   5.500   0.6054   0.01025   0.00391  -0.0015   0.1256   0.7616
   6.000   0.6518   0.01128   0.00466  -0.0005   0.0623   0.7766
   6.500   0.7002   0.01201   0.00536   0.0003   0.0444   0.7921
   7.000   0.7483   0.01267   0.00607   0.0012   0.0372   0.8081
   7.500   0.7935   0.01346   0.00695   0.0026   0.0324   0.8254
   8.000   0.8374   0.01421   0.00779   0.0041   0.0290   0.8439
  10.000   0.9714   0.01858   0.01281   0.0153   0.0218   1.0000
  10.500   1.0008   0.01993   0.01423   0.0177   0.0207   1.0000
  11.000   1.0269   0.02162   0.01598   0.0201   0.0199   1.0000
  11.500   1.0512   0.02356   0.01798   0.0222   0.0193   1.0000
  12.000   1.0682   0.02626   0.02077   0.0247   0.0186   1.0000
  12.500   1.0869   0.02907   0.02372   0.0268   0.0181   1.0000
  13.000   1.1089   0.03160   0.02639   0.0282   0.0178   1.0000
  13.500   1.1278   0.03452   0.02948   0.0295   0.0173   1.0000
  14.000   1.1450   0.03764   0.03275   0.0304   0.0169   1.0000
  14.500   1.1578   0.04131   0.03659   0.0310   0.0165   1.0000
  15.000   1.1679   0.04537   0.04081   0.0311   0.0161   1.0000
  15.500   1.1737   0.05010   0.04573   0.0308   0.0158   1.0000
  16.000   1.1757   0.05559   0.05140   0.0299   0.0156   1.0000
  16.500   1.1765   0.06153   0.05747   0.0281   0.0153   1.0000
  17.000   1.1659   0.06947   0.06567   0.0255   0.0151   1.0000
  17.500   1.1345   0.08117   0.07770   0.0207   0.0149   1.0000
  18.000   1.0929   0.09596   0.09286   0.0128   0.0148   1.0000
