NACA 642-015 AIRFOIL                            
 Alfa =  -3.00000 Re =   800000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00000  0.24302
   0.99389  0.00027  0.22441
   0.98393  0.00080  0.22432
   0.97289  0.00152  0.22481
   0.96064  0.00248  0.22243
   0.94712  0.00375  0.21673
   0.93251  0.00534  0.20574
   0.91717  0.00722  0.19120
   0.90146  0.00930  0.17518
   0.88556  0.01151  0.16018
   0.86954  0.01383  0.14615
   0.85340  0.01625  0.13206
   0.83716  0.01876  0.11746
   0.82082  0.02135  0.10246
   0.80438  0.02401  0.08717
   0.78787  0.02671  0.07253
   0.77129  0.02944  0.05856
   0.75467  0.03219  0.04573
   0.73806  0.03493  0.03304
   0.72148  0.03765  0.01282
   0.70497  0.04033 -0.03988
   0.68851  0.04297 -0.11387
   0.67209  0.04555 -0.12128
   0.65572  0.04808 -0.12877
   0.63938  0.05054 -0.13655
   0.62309  0.05294 -0.14491
   0.60685  0.05525 -0.15398
   0.59064  0.05748 -0.16397
   0.57446  0.05961 -0.17509
   0.55832  0.06165 -0.18740
   0.54224  0.06358 -0.20067
   0.52622  0.06539 -0.21459
   0.51028  0.06708 -0.22863
   0.49438  0.06863 -0.24236
   0.47847  0.07005 -0.25537
   0.46256  0.07133 -0.26824
   0.44673  0.07246 -0.28118
   0.43112  0.07343 -0.29447
   0.41578  0.07419 -0.30522
   0.40062  0.07471 -0.31026
   0.38546  0.07499 -0.30505
   0.37011  0.07504 -0.29394
   0.35450  0.07489 -0.28111
   0.33870  0.07459 -0.27039
   0.32288  0.07414 -0.26160
   0.30715  0.07352 -0.25165
   0.29150  0.07275 -0.23958
   0.27588  0.07179 -0.22564
   0.26023  0.07067 -0.20993
   0.24457  0.06939 -0.19378
   0.22892  0.06793 -0.17655
   0.21332  0.06632 -0.15843
   0.19780  0.06454 -0.13936
   0.18239  0.06259 -0.11873
   0.16712  0.06047 -0.09621
   0.15199  0.05817 -0.07153
   0.13705  0.05568 -0.04481
   0.12235  0.05301 -0.01449
   0.10802  0.05014  0.02008
   0.09420  0.04712  0.05924
   0.08111  0.04397  0.10199
   0.06908  0.04080  0.14782
   0.05835  0.03769  0.19786
   0.04891  0.03467  0.25215
   0.04063  0.03176  0.31224
   0.03351  0.02899  0.37633
   0.02752  0.02643  0.44177
   0.02250  0.02409  0.50105
   0.01830  0.02194  0.56249
   0.01477  0.01989  0.63239
   0.01176  0.01791  0.70795
   0.00919  0.01598  0.78467
   0.00698  0.01409  0.85641
   0.00511  0.01220  0.92409
   0.00356  0.01026  0.97863
   0.00234  0.00832  0.99997
   0.00140  0.00641  0.97998
   0.00071  0.00454  0.91144
   0.00026  0.00271  0.79136
   0.00003  0.00090  0.62125
   0.00003 -0.00090  0.41018
   0.00026 -0.00271  0.18483
   0.00071 -0.00454 -0.04735
   0.00140 -0.00641 -0.27800
   0.00234 -0.00832 -0.50669
   0.00356 -0.01026 -0.71934
   0.00511 -0.01220 -0.88846
   0.00698 -0.01409 -0.93557
   0.00919 -0.01598 -0.94878
   0.01176 -0.01791 -0.96461
   0.01477 -0.01989 -0.96412
   0.01830 -0.02194 -0.94452
   0.02250 -0.02409 -0.90322
   0.02752 -0.02643 -0.86431
   0.03351 -0.02899 -0.84186
   0.04063 -0.03176 -0.82573
   0.04891 -0.03467 -0.80823
   0.05835 -0.03769 -0.79158
   0.06908 -0.04080 -0.77312
   0.08111 -0.04397 -0.75621
   0.09420 -0.04712 -0.74306
   0.10802 -0.05014 -0.73211
   0.12235 -0.05301 -0.72363
   0.13705 -0.05568 -0.71492
   0.15199 -0.05817 -0.70704
   0.16712 -0.06047 -0.70068
   0.18239 -0.06259 -0.69473
   0.19780 -0.06454 -0.68990
   0.21332 -0.06632 -0.68568
   0.22892 -0.06793 -0.68243
   0.24457 -0.06939 -0.67948
   0.26023 -0.07067 -0.67728
   0.27588 -0.07179 -0.67543
   0.29150 -0.07275 -0.67322
   0.30715 -0.07352 -0.66940
   0.32288 -0.07414 -0.66420
   0.33870 -0.07459 -0.65872
   0.35450 -0.07489 -0.65556
   0.37011 -0.07504 -0.65463
   0.38546 -0.07499 -0.65179
   0.40062 -0.07471 -0.64283
   0.41578 -0.07419 -0.62446
   0.43112 -0.07343 -0.60231
   0.44673 -0.07246 -0.58112
   0.46256 -0.07133 -0.56338
   0.47847 -0.07005 -0.54868
   0.49438 -0.06863 -0.53602
   0.51028 -0.06708 -0.52458
   0.52622 -0.06539 -0.51382
   0.54224 -0.06358 -0.50337
   0.55832 -0.06165 -0.38182
   0.57446 -0.05961 -0.32396
   0.59064 -0.05748 -0.29995
   0.60685 -0.05525 -0.28092
   0.62309 -0.05294 -0.26092
   0.63938 -0.05054 -0.23905
   0.65572 -0.04808 -0.21671
   0.67209 -0.04555 -0.19318
   0.68851 -0.04297 -0.16935
   0.70497 -0.04033 -0.14511
   0.72148 -0.03765 -0.12068
   0.73806 -0.03493 -0.09576
   0.75467 -0.03219 -0.07125
   0.77129 -0.02944 -0.04635
   0.78787 -0.02671 -0.02213
   0.80438 -0.02401  0.00191
   0.82082 -0.02135  0.02523
   0.83716 -0.01876  0.04776
   0.85340 -0.01625  0.06956
   0.86954 -0.01383  0.09041
   0.88556 -0.01151  0.11086
   0.90146 -0.00930  0.13172
   0.91717 -0.00722  0.15321
   0.93251 -0.00534  0.17283
   0.94712 -0.00375  0.18909
   0.96064 -0.00248  0.20099
   0.97289 -0.00152  0.21034
   0.98393 -0.00080  0.21787
   0.99388 -0.00027  0.22679
   1.00000  0.00000  0.24302
